강좌명,교육시작일자,교육종료일자,교육시작시각,교육종료시각,강좌내용,교육대상구분,교육방법구분,운영요일,교육장소,강좌정원수,수강료,교육장도로명주소,운영기관명,운영기관전화번호,접수방법구분,선정방법구분,홈페이지주소,데이터기준일자
ABC,2024-01-01,2025-02-28,14:30,16:30,알파벳 및 단어연습,만60세 이상 노인,강의,수,3층 배움실,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
실용영어,2024-01-01,2025-02-28,12:30,14:30,실용적인 표현 익히기,만60세 이상 노인,강의,수,3층 배움실,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
영어교실초급,2024-01-01,2025-02-28,14:00,15:00,기초영단어 및 짧은 회화연습,만60세 이상 노인,강의,"화, 목",3층 누리실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
영어말문트기,2024-01-01,2025-02-28,13:00,14:00,기초문법 및 일상생활회화연습,만60세 이상 노인,강의,"화, 목",3층 누리실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
영어회화중급,2024-01-01,2025-02-28,10:00,11:00,문장읽기와 기본어법 등 영어필수표현 연습,만60세 이상 노인,강의,"수, 금",4층 소회의실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
영어회화고급,2024-01-01,2025-02-28,11:00,12:00,"시사영역, 영자신문탐독 등",만60세 이상 노인,강의,"수, 금",4층 소회의실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
원어민일어회화,2024-01-01,2025-02-28,09:30,11:00,일본어로 대화하기,만60세 이상 노인,강의,"월, 목",3층 배움실,20,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
일어회화초급,2024-01-01,2025-02-28,09:30,11:00,일본어를 통해 일본 문화 알아보기,만60세 이상 노인,강의,"월, 목",3층 누리실,30,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
일어회화중급,2024-01-01,2025-02-28,11:00,12:30,일본어를 배워 일본소설 읽어보기,만60세 이상 노인,강의,"월, 목",3층 누리실,30,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
기초영어,2024-01-01,2025-02-28,11:00,12:00,간단한 문장 패턴 및 문법 익히기,만60세 이상 노인,강의,"수, 금",3층 배움실,20,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
팝송영어A,2024-01-01,2025-02-28,10:00,11:00,올드팝송,만60세 이상 노인,강의,"수, 금",3층 배움실,20,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
팝송영어B,2024-01-01,2025-02-28,15:00,16:00,"팝송내용해석, 주요문법이해및활용",만60세 이상 노인,강의,"화, 목",4층 소회의실,30,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
동영상만들기,2024-01-01,2025-02-28,11:00,12:30,캡컷 프로그램 활용을 통한 동영상만들기,만60세 이상 노인,강의,"화, 목",3층 정보화실,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
스마트폰A,2024-01-01,2025-02-28,09:30,11:00,"스마트폰 개념, 각종 앱 사용법 익히기",만60세 이상 노인,강의,"화, 목",3층 정보화실,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
스마트폰B,2024-01-01,2025-02-28,12:30,15:30,"스마트폰 개념, 각종 앱 사용법 익히기",만60세 이상 노인,강의,수,3층 정보화실,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
스마트폰C,2024-01-01,2025-02-28,13:30,16:30,"스마트폰 개념, 각종 앱 사용법 익히기",만60세 이상 노인,강의,금,3층 정보화실,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
컴퓨터초급A,2024-01-01,2025-02-28,09:30,11:00,"컴퓨터 기초개념, 컴퓨터 사용법 익히기",만60세 이상 노인,강의,"월, 금",3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
컴퓨터초급B,2024-01-01,2025-02-28,13:30,15:00,"컴퓨터 기초개념, 컴퓨터 사용법 익히기",만60세 이상 노인,강의,"화, 목",3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
타자기초반,2024-01-01,2025-02-28,11:00,12:30,컴퓨터 타자 연습,만60세 이상 노인,강의,"월, 금",,, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
키오스크 및 스마트기기전문교육 가,2024-01-01,2025-02-28,13:30,14:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,월,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
키오스크 및 스마트기기전문교육 나,2024-01-01,2025-02-28,14:30,15:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,월,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
키오스크 및 스마트기기전문교육 다,2024-01-01,2025-02-28,15:30,16:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,월,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
키오스크 및 스마트기기전문교육 라,2024-01-01,2025-02-28,16:30,17:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,월,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
키오스크 및 스마트기기전문교육 마,2024-01-01,2025-02-28,15:30,16:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,화,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
키오스크 및 스마트기기전문교육 바,2024-01-01,2025-02-28,15:30,16:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,수,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
 키오스크 및 스마트기기전문교육 사,2024-01-01,2025-02-28,16:30,17:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,수,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
 키오스크 및 스마트기기전문교육 아,2024-01-01,2025-02-28,15:30,16:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,목,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
 키오스크 및 스마트기기전문교육 자,2024-01-01,2025-02-28,16:30,17:30,"키오스크개념, 키오스크 사용법 익히기",만60세 이상 노인,강의,목,3층 정보화실,15, 무료 ,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
가요댄스A,2024-01-01,2025-02-28,10:00,11:00,신체건강증진을 위한 가요댄스,만60세 이상 노인,강의,"화, 금",5층 어진샘홀,50,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
가요댄스B,2024-01-01,2025-02-28,11:00,12:00,,만60세 이상 노인,강의,"화, 금",,50,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
건강요가A,2024-01-01,2025-02-28,09:00,10:00,가벼운 몸과 편안한 마음을 위한 요가,만60세 이상 노인,강의,"화, 금",3층 희망실,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
건강요가B,2024-01-01,2025-02-28,10:00,11:00,,만60세 이상 노인,강의,"화, 금",,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
건강요가C,2024-01-01,2025-02-28,11:00,12:00,,만60세 이상 노인,강의,"화, 금",,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
기체조,2024-01-01,2025-02-28,13:00,14:00,"뇌건강, 마음건강, 마음건강을 위한 체조활동",만60세 이상 노인,강의,"수, 금",3층 행복실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
단전호흡수금,2024-01-01,2025-02-28,11:00,12:30,단전호흡,만60세 이상 노인,강의,"수, 금",3층 행복실,30,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
단전호흡월목,2024-01-01,2025-02-28,10:00,11:30,,만60세 이상 노인,강의,"월, 목",,30,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
라인댄스A,2024-01-01,2025-02-28,11:00,12:00,라인댄스,만60세 이상 노인,강의,"월, 목",5층 어진샘홀,50,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
라인댄스B,2024-01-01,2025-02-28,10:00,11:00,,만60세 이상 노인,강의,"월, 목",,50,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
라인댄스C,2024-01-01,2025-02-28,09:00,10:00,,만60세 이상 노인,강의,"월, 목",,50,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
밸리댄스,2024-01-01,2025-02-28,14:00,15:00,아랍팝/트롯밸리,만60세 이상 노인,강의,"월, 수",3층 희망실,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
복고댄스,2024-01-01,2025-02-28,14:00,15:00,자이브/쌈바/왈츠 등 복고댄스,만60세 이상 노인,강의,"화, 목",5층 어진샘홀,50,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
에어로빅A,2024-01-01,2025-02-28,10:00,11:00,"라인댄스, 치매예방박수, 근력강화운동, 균형감각운동 등",만60세 이상 노인,강의,"월, 목",3층 희망실,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
에어로빅B,2024-01-01,2025-02-28,11:00,12:00,,만60세 이상 노인,강의,"월, 목",,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
탁구교실A,2024-01-01,2025-02-28,09:00,11:00,탁구,만60세 이상 노인,강의,"월, 금",4층 체력단련실,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
탁구교실B,2024-01-01,2025-02-28,11:00,13:00,,만60세 이상 노인,강의,"월, 금",,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
탁구교실C,2024-01-01,2025-02-28,13:00,15:00,,만60세 이상 노인,강의,"화, 목",,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
탁구교실D(수),2024-01-01,2025-02-28,09:00,11:00,,만60세 이상 노인,강의,수,,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
탁구교실D(금),2024-01-01,2025-02-28,13:00,15:00,,만60세 이상 노인,강의,금,,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
탁구교실E(수),2024-01-01,2025-02-28,11:00,13:00,,만60세 이상 노인,강의,수,,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
탁구교실E(금),2024-01-01,2025-02-28,15:00,17:00,,만60세 이상 노인,강의,금,,15,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
한국무용,2024-01-01,2025-02-28,13:00,14:00,접부채를 이용한 한국무용,만60세 이상 노인,강의,"월, 목",3층 행복실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
기타교실초급,2024-01-01,2025-02-28,11:00,12:30,기타연주,만60세 이상 노인,강의,화,3층 누리실,30,4개월 36000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
기타교실중급,2024-01-01,2025-02-28,09:30,11:00,기타연주,만60세 이상 노인,강의,화,3층 누리실,30,4개월 36000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
트로트난타,2024-01-01,2025-02-28,11:00,12:00,트로트노래에 맞춰 난타연주,만60세 이상 노인,강의,수,5층 어진샘홀,50,4개월 32000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
난타교실중급,2024-01-01,2025-02-28,16:00,17:00,난타연주,만60세 이상 노인,강의,금,5층 어진샘홀,50,4개월 32000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
난타교실고급,2024-01-01,2025-02-28,15:00,16:00,난타연주,만60세 이상 노인,강의,금,5층 어진샘홀,50,4개월 32000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
노래교실,2024-01-01,2025-02-28,13:00,14:30,노래교실,만60세 이상 노인,강의,월,5층 어진샘홀,50,4개월 36000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
댄스난타,2024-01-01,2025-02-28,12:00,13:30,댄스노래에 맞춰 난타연주,만60세 이상 노인,강의,수,5층 어진샘홀,50,4개월 36000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
동양고전,2024-01-01,2025-02-28,10:00,11:30,"성현들의 지혜습득, 독해 능력 배양 및 인격수양",만60세 이상 노인,강의,"화, 목",4층 소회의실,30,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
수채화교실A,2024-01-01,2025-02-28,10:00,12:00,"정물화, 풍경화 등 수채화",만60세 이상 노인,강의,월,4층 소회의실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
수채화교실B,2024-01-01,2025-02-28,13:00,15:00,"정물화, 풍경화 등 수채화",만60세 이상 노인,강의,월,4층 소회의실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
오카리나,2024-01-01,2025-02-28,09:30,11:00,오카리나,만60세 이상 노인,강의,수,5층 어진샘홀,50,4개월 36000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
캘리그라피,2024-01-01,2025-02-28,13:00,15:00,붓을 활용한 캘리그라피,만60세 이상 노인,강의,월,4층 묵향실,18,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
풍물교실,2024-01-01,2025-02-28,14:30,15:30,"징, 북, 장구 등 풍물",만60세 이상 노인,강의,"월, 수",5층 어진샘홀,50,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
하모니카 초급,2024-01-01,2025-02-28,10:30,12:00,하모니카,만60세 이상 노인,강의,금,,,4개월 36000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
하모니카 중급,2024-01-01,2025-02-28,09:00,10:30,하모니카,만60세 이상 노인,강의,금,3층 나눔실,15,4개월 36000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
컴퓨터시작반,2025-01-06,2025-12-26,10:30,11:20,컴퓨터시작 심화,만60세 이상 노인,강의,월·수,3층 정보화교실,25,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
컴퓨터활용반,2025-01-06,2025-12-26,11:30,12:20,워드&인터넷 활용,만60세 이상 노인,강의,월·수,3층 정보화교실,25,1개월 12000원,해운대구 좌동로 126,장산노인복지관,051-704-9141,방문접수,공개추첨,http://www.haeundaejangsan.or.kr,2024-12-12
